ind	num.resp
IND001	26.272230810788
IND002	26.8189320755935
IND003	24.7434345341678
IND004	29.2204275914139
IND005	23.2210872502691
IND006	18.9875462585292
IND007	22.1001709252758
IND008	34.9249857760005
IND009	25.7121226290297
IND010	19.4107639376467
IND011	25.1184821069929
IND012	17.5509004791504
IND013	23.0286371300185
IND014	22.3316957892192
IND015	20.5795430413251
IND016	15.1865472146477
IND017	25.9876004839388
IND018	21.0009417897011
IND019	25.281333118076
IND020	30.7915241849257
IND021	31.0085582603809
IND022	17.6873459245928
IND023	19.5370002344644
IND024	21.712488558834
IND025	37.5757057202382
IND026	26.2419534511289
IND027	20.3222578470076
IND028	23.0054037297701
IND029	29.9601017958325
IND030	28.1398427074455
IND031	29.1137860936492
IND032	25.1175783531682
IND033	22.582486257384
IND034	23.7613512697666
IND035	25.5045056192149
IND036	26.7299643095796
IND037	28.3066500201215
IND038	22.8811367180378
IND039	23.9146662047983
IND040	20.8456343058169
IND041	17.6356910894233
IND042	33.9001532430694
IND043	29.2404835405639
IND044	25.1630409220975
IND045	28.7453185859718
IND046	26.972438445759
IND047	36.3470014122222
IND048	35.1793867463235
IND049	25.0769331660228
IND050	19.5744419395854
IND051	28.3054982903965
IND052	28.6330171902303
IND053	22.3081269981239
IND054	20.2956639949866
IND055	21.1079820778895
IND056	22.2475776864025
IND057	34.4691970515931
IND058	17.9285353873787
IND059	21.170810639702
IND060	20.5202003039571
IND061	19.2485572308774
IND062	29.524418969121
IND063	18.3051282595269
IND064	19.4526322294061
IND065	20.9646296172789
IND066	24.0885973566059
IND067	25.4103411765451
IND068	25.7453677998896
IND069	27.0248500865167
IND070	26.9668621384807
IND071	27.5862632305622
IND072	26.3026171383465
IND073	16.1207405038188
IND074	24.2788473533449
IND075	22.3273638270487
IND076	25.1493295253541
IND077	21.7586833222
IND078	22.6487621348282
IND079	21.8280355043583
IND080	27.7826816280289
IND081	34.0759575776589
IND082	21.3672367196918
IND083	20.5410520211152
IND084	28.2186811323401
IND085	26.0201774364097
IND086	27.6727731845396
IND087	18.4561889742539
IND088	17.926174941856
IND089	22.7603228345357
IND090	24.8881432586848
IND091	13.4680657207143
IND092	27.0590963560003
IND093	17.1191105559501
IND094	30.947866092989
IND095	23.0928997571559
IND096	24.7162344456384
IND097	23.0256248369181
IND098	31.7423871397111
IND099	19.4251445782291
IND100	39.6310755215512
IND101	22.5553329284739
IND102	28.2534646173422
IND103	28.1943304108843
IND104	34.2382039072433
IND105	29.8797457666963
IND106	24.8221050004562
IND107	23.0277031932233
IND108	27.0324747553696
IND109	24.8045169084064
IND110	25.7878487863492
IND111	22.06337803364
IND112	24.2394384832824
IND113	22.8891121442539
IND114	16.5874530314476
IND115	26.8728154751205
IND116	21.6135729812216
IND117	27.8722429174914
IND118	24.7859235249558
IND119	21.6895136090482
IND120	14.2327261463298
IND121	20.6947072707599
IND122	28.713788557457
IND123	25.7571728260785
IND124	19.7150121846898
IND125	31.8384052936862
IND126	18.4391960779487
IND127	23.7590748603518
IND128	21.5304303138223
IND129	25.008495396779
IND130	14.898309657992
IND131	19.6068709050479
IND132	27.4443239824722
IND133	28.5676591913945
IND134	24.6511189594993
IND135	21.6156631147191
IND136	23.7802906405929
IND137	26.8099517682884
IND138	14.4434238180108
IND139	19.5039238481362
IND140	25.3581513257157
IND141	14.6617138984185
IND142	18.616985113509
IND143	35.9993591031305
IND144	26.7926966116872
IND145	22.7721284238266
IND146	24.140678037724
IND147	23.5643372094459
IND148	28.1727380654529
IND149	30.5140542166317
IND150	31.9860938649728
IND151	31.9855806689455
IND152	28.3265742217785
IND153	32.4291852126725
IND154	21.4516790787253
IND155	23.6111531611038
IND156	18.6410177965803
IND157	21.4318209376585
IND158	20.5502095374347
IND159	20.7636257767524
IND160	22.0801336731286
IND161	22.9996443052417
IND162	20.7724524667917
IND163	27.6239903925241
IND164	27.8236782197335
IND165	32.7919233489418
IND166	26.3930024370819
IND167	23.5230543072013
IND168	31.175148888336
IND169	33.4980866097666
IND170	33.2220509390503
IND171	37.3480223038182
IND172	24.9483305192067
IND173	17.1733654261978
IND174	26.6175401982223
IND175	16.1436821434246
IND176	22.1375787213157
IND177	29.1288708896353
IND178	19.2855684372731
IND179	33.9605641516243
IND180	21.4893478036997
IND181	18.9332388705976
IND182	35.7375029451366
IND183	31.9087368265555
IND184	34.1667836152818
