ind	bin.resp	num.resp
IND001	0	24.65617981
IND002	1	29.34689109
IND003	0	16.77881417
IND004	0	34.30578581
IND005	0	18.5417506
IND006	0	34.19236614
IND007	0	23.82689867
IND008	0	32.98019612
IND009	0	31.98399927
IND010	0	16.74550672
IND011	1	24.02148797
IND012	0	20.09492217
IND013	0	26.37588763
IND014	0	22.09778408
IND015	0	21.42926743
IND016	1	27.84027633
IND017	1	23.51175101
IND018	0	26.78291413
IND019	0	30.51759039
IND020	0	30.26152139
IND021	0	23.10302064
IND022	0	17.79886279
IND023	0	17.11875695
IND024	1	26.94382943
IND025	0	30.45455021
IND026	0	21.65320805
IND027	0	27.36527999
IND028	0	15.87114774
IND029	1	28.02599685
IND030	1	25.83294096
IND031	0	18.8300832
IND032	0	27.55153265
IND033	0	14.32385038
IND034	0	19.60361239
IND035	0	27.94376337
IND036	0	27.4908407
IND037	0	29.97152857
IND038	0	24.47663159
IND039	1	33.92661451
IND040	0	29.90036987
IND041	0	32.35445342
IND042	0	27.24968921
IND043	0	22.63339196
IND044	1	28.22924193
IND045	0	22.39061467
IND046	0	32.35467222
IND047	0	27.17288649
IND048	0	30.51958184
IND049	0	27.24334475
IND050	0	17.30273193
IND051	0	28.19859712
IND052	0	18.59754838
IND053	0	24.31269964
IND054	0	31.39398581
IND055	0	26.86866448
IND056	0	21.25217187
IND057	0	22.61133968
IND058	0	28.98545762
IND059	0	23.18752639
IND060	1	29.87275994
IND061	0	19.34820887
IND062	0	19.3973045
IND063	1	24.4583886
IND064	1	22.08144102
IND065	0	35.9768149
IND066	0	21.13555699
IND067	0	31.71339018
IND068	1	26.18272725
IND069	0	26.3272927
IND070	1	20.63907971
IND071	0	18.72182327
IND072	1	33.30479971
IND073	0	14.02490534
IND074	0	21.01641276
IND075	0	27.71119936
IND076	0	21.99881451
IND077	0	26.5027373
IND078	1	24.91888757
IND079	0	25.13494046
IND080	0	15.30905159
IND081	0	21.87872369
IND082	0	25.96431452
IND083	0	21.45391048
IND084	0	25.39876619
IND085	0	25.98818767
IND086	0	19.95872677
IND087	0	23.64479951
IND088	0	19.92685768
IND089	0	27.26495949
IND090	0	35.93468914
IND091	0	25.99279904
IND092	1	23.75343524
IND093	0	23.78199194
IND094	0	22.32331491
IND095	1	27.7631044
IND096	1	31.15353369
IND097	0	22.53881468
IND098	1	20.65656266
IND099	0	24.55029474
IND100	1	16.195945
IND101	0	21.8520029
IND102	0	25.71375357
IND103	0	28.88737612
IND104	0	28.14324937
IND105	0	24.32650067
IND106	0	21.63245283
IND107	0	25.00918072
IND108	0	24.20869206
IND109	0	30.28889721
IND110	0	20.77929438
IND111	0	14.953394
IND112	0	13.42059116
IND113	1	28.07787459
IND114	0	16.81583557
IND115	0	24.81706757
IND116	0	27.49741674
IND117	1	21.23190408
IND118	0	22.10090765
IND119	0	24.62305998
IND120	0	13.2517424
IND121	0	25.30763237
IND122	1	24.82182011
IND123	1	23.15111311
IND124	1	21.75691006
IND125	0	21.49810044
IND126	0	18.89997499
IND127	0	25.49337843
IND128	0	21.74383621
IND129	0	31.84339177
IND130	0	15.12176418
IND131	0	15.22820095
IND132	0	29.16953831
IND133	1	20.34792716
IND134	0	13.79209693
IND135	0	30.57542514
IND136	1	19.88278866
IND137	0	32.0746554
IND138	0	25.1395575
IND139	0	22.66410964
IND140	0	27.79264569
IND141	0	17.30001273
IND142	0	24.08486855
IND143	0	19.26032246
IND144	0	29.77609017
IND145	0	19.648809
IND146	0	23.38612777
IND147	0	23.34323481
IND148	0	28.7117412
IND149	0	29.38374573
IND150	0	26.00054649
IND151	1	28.42836309
IND152	0	16.58747828
IND153	0	22.27968655
IND154	0	17.63428426
IND155	0	25.87023368
IND156	0	31.33569923
IND157	1	21.10912021
IND158	0	34.94520926
IND159	0	17.72131464
IND160	0	23.16773718
IND161	0	17.23261691
IND162	0	13.96746307
IND163	0	28.25572515
IND164	1	28.90968874
IND165	0	27.71068699
IND166	0	19.55521669
IND167	1	30.14167589
IND168	0	21.0994179
IND169	0	20.75824704
IND170	0	23.30728507
IND171	0	18.63195226
IND172	0	14.94862326
IND173	0	25.38634709
IND174	0	18.63835194
IND175	1	28.41519523
IND176	0	35.17230366
IND177	0	25.1455228
IND178	1	24.42084576
IND179	0	30.93582049
IND180	0	20.95177219
IND181	0	24.11687991
IND182	1	18.40649383
IND183	1	27.30282848
IND184	0	23.02491129
IND185	0	9.082614529
IND186	0	18.62111392
IND187	0	32.52287793
IND188	0	22.56678381
IND189	0	13.55888093
IND190	0	27.21686239
IND191	0	20.28733021
IND192	1	18.08635385
IND193	0	28.70217651
IND194	1	24.0319933
IND195	0	16.63280964
IND196	0	30.98766039
IND197	0	19.79850431
IND198	0	16.10164861
IND199	0	30.12044956
IND200	0	32.04407377
IND201	0	23.98321053
IND202	0	23.96472018
IND203	0	28.91812689
IND204	0	17.62997824
IND205	0	26.97690964
IND206	0	22.49096117
IND207	0	18.196891
IND208	0	20.50727292
IND209	0	22.19828626
IND210	0	26.44666277
IND211	0	29.19540307
IND212	0	28.03226436
IND213	0	23.13188287
IND214	0	22.59793991
IND215	0	20.85655906
IND216	0	19.6982001
IND217	0	25.18000429
IND218	0	14.97464616
IND219	0	23.63415606
IND220	0	20.66964105
IND221	0	25.20332785
IND222	0	27.03921874
IND223	0	19.40407973
IND224	0	31.45958424
IND225	1	19.15193089
IND226	1	21.2777
IND227	0	21.65425149
IND228	0	30.19368623
IND229	0	25.74816063
IND230	0	13.89250558
IND231	0	22.43623503
IND232	0	18.7055979
IND233	1	21.89895402
IND234	0	28.81885058
IND235	0	24.13999449
IND236	0	33.25478959
IND237	0	17.3395667
IND238	0	27.11920757
IND239	0	11.64739441
IND240	0	16.93255221
IND241	0	21.67385397
IND242	0	17.54606772
IND243	1	35.71033261
IND244	0	21.71101848
IND245	1	23.84830432
IND246	0	30.71534454
IND247	0	23.60602822
IND248	0	23.22628499
IND249	0	32.17273961
IND250	0	28.81627012
IND251	0	17.08663755
IND252	0	17.57088772
IND253	0	24.78627527
IND254	0	18.18865922
IND255	1	24.68632485
IND256	0	30.78053217
IND257	0	28.6533055
IND258	0	15.7164326
IND259	0	19.28972546
IND260	1	25.1486491
IND261	0	28.23235713
IND262	0	19.38162666
IND263	0	28.53367026
IND264	1	15.99245695
IND265	0	29.75750254
IND266	0	18.07300757
IND267	1	27.21048616
IND268	1	38.40932203
IND269	0	20.66469807
IND270	0	22.74542255
IND271	0	17.32930389
IND272	0	19.66101488
IND273	0	26.08407432
IND274	1	28.59616138
IND275	1	30.06163846
IND276	0	23.87256995
IND277	0	16.78680856
IND278	0	22.11586201
IND279	1	22.27843344
IND280	0	21.9128365
IND281	0	24.6049746
IND282	0	26.92199672
IND283	0	22.03571242
IND284	0	22.13510191
IND285	0	24.86508486
IND286	1	13.82263477
IND287	0	24.19356517
IND288	0	22.88786082
IND289	0	13.99523049
IND290	0	25.7015605
IND291	1	29.51923671
IND292	0	25.70113594
IND293	0	13.95327793
IND294	0	26.24466
IND295	0	20.6715788
IND296	0	28.44708397
IND297	0	24.70381793
IND298	1	32.7159901
IND299	1	26.76024681
IND300	0	24.08929725
IND301	0	21.61037756
IND302	1	23.51238724
IND303	1	29.05573455
IND304	0	23.43856633
IND305	0	23.98018608
IND306	0	32.74633578
IND307	0	22.63604978
IND308	0	31.45343888
IND309	0	23.06072147
IND310	0	23.88324325
IND311	1	23.81105665
IND312	0	30.92729674
IND313	1	22.14679662
IND314	0	18.8986273
IND315	0	21.7624355
IND316	0	20.96220591
IND317	1	29.45439333
IND318	0	20.47916538
IND319	0	25.46344675
IND320	0	20.85472755
IND321	0	21.80831713
IND322	0	20.74308294
IND323	0	35.20228005
IND324	1	26.16756234
IND325	0	24.84587962
IND326	0	27.73823823
IND327	0	26.60549711
IND328	0	29.95794663
IND329	0	24.75852911
IND330	0	26.58996237
IND331	1	23.98711388
IND332	0	24.19824424
IND333	0	22.43408222
IND334	0	21.22594247
IND335	0	20.75054045
IND336	1	26.61661631
IND337	0	32.1469062
IND338	0	23.73590072
IND339	0	25.02921311
IND340	0	29.7009357
IND341	0	29.1590693
IND342	0	16.03582046
IND343	0	22.88687092
IND344	1	18.34163071
IND345	0	26.22464071
IND346	1	18.39581121
IND347	0	22.14190003
IND348	0	24.79729821
IND349	0	29.02765576
IND350	0	17.86189439
IND351	0	18.37318179
IND352	0	22.56836668
IND353	0	26.46706575
IND354	0	27.87225609
IND355	0	31.24232229
IND356	1	28.13141971
IND357	0	27.24158692
IND358	0	29.34174848
IND359	0	17.78481588
IND360	0	30.73157691
IND361	0	28.6317114
IND362	0	18.74069342
IND363	1	26.52994143
IND364	0	26.93797921
IND365	1	34.71132745
IND366	0	26.89819657
